date,open,high,low,close,volume,amount
2025-07-11,7.687,7.705,7.685,7.689,70693,54394.709
2025-07-14,7.739,7.762,7.725,7.76,76493,59186.91
2025-07-15,7.723,7.762,7.716,7.75,73552,56935.131
2025-07-16,7.729,7.729,7.69,7.719,46745,36020.352
2025-07-17,7.718,7.725,7.702,7.713,50013,38578.011
2025-07-18,7.713,7.724,7.702,7.719,36805,28391.283
2025-07-21,7.735,7.771,7.735,7.764,50761,39361.796
2025-07-22,7.8,7.809,7.789,7.791,48222,37603.007
2025-07-23,7.851,7.874,7.848,7.874,45704,35937.777
2025-07-24,7.77,7.779,7.73,7.739,125849,97552.297
2025-07-25,7.73,7.736,7.715,7.726,69527,53710.946
2025-07-28,7.701,7.714,7.679,7.709,57222,44017.603
2025-07-29,7.691,7.691,7.662,7.678,61572,47229.487
2025-07-30,7.694,7.722,7.68,7.691,102251,78634.862
2025-07-31,7.665,7.667,7.622,7.662,52279,39986.406
2025-08-01,7.666,7.678,7.634,7.664,74947,57401.587
2025-08-04,7.769,7.769,7.749,7.763,140303,108842.438
2025-08-05,7.794,7.807,7.772,7.778,45048,35086.513
2025-08-06,7.788,7.8,7.779,7.787,23612,18387.394
2025-08-07,7.787,7.805,7.776,7.803,45436,35386.561
2025-08-08,7.822,7.83,7.804,7.824,53452,41785.706
2025-08-11,7.792,7.792,7.739,7.748,82613,64128.331
2025-08-12,7.73,7.731,7.707,7.715,53528,41313.723
2025-08-13,7.709,7.731,7.708,7.731,35836,27665.364
2025-08-14,7.749,7.756,7.728,7.738,64931,50241.601
2025-08-15,7.707,7.727,7.695,7.718,57170,44087.42
2025-08-18,7.726,7.74,7.706,7.726,54007,41715.221
2025-08-19,7.701,7.714,7.699,7.706,29516,22740.787
2025-08-20,7.679,7.688,7.661,7.68,51076,39196.338
2025-08-21,7.714,7.723,7.7,7.704,25540,19696.478
2025-08-22,7.706,7.713,7.687,7.69,43807,33739.021
2025-08-25,7.734,7.749,7.731,7.741,54726,42352.756
2025-08-26,7.75,7.767,7.744,7.766,39370,30547.927
2025-08-27,7.775,7.777,7.758,7.764,30313,23555.146
2025-08-28,7.773,7.786,7.773,7.783,30334,23601.188
2025-08-29,7.796,7.811,7.792,7.81,48553,37893.064
2025-09-01,7.892,7.975,7.865,7.962,240061,190422.355
2025-09-02,8.007,8.05,7.986,7.995,127278,102023.827
2025-09-03,8.099,8.114,8.075,8.093,132669,107407.23
2025-09-04,8.123,8.123,8.021,8.078,211175,170477.438
2025-09-05,8.109,8.116,8.085,8.106,134069,108677.168
2025-09-08,8.141,8.176,8.14,8.174,139647,113942.127
2025-09-09,8.26,8.32,8.258,8.297,168856,139941.593
2025-09-10,8.245,8.29,8.223,8.286,117361,97011.43
2025-09-11,8.308,8.31,8.239,8.258,150140,124138.877
2025-09-12,8.259,8.303,8.259,8.292,90110,74685.77
2025-09-15,8.268,8.281,8.24,8.263,95816,79170.684
2025-09-16,8.34,8.37,8.327,8.369,131569,109745.623
2025-09-17,8.351,8.351,8.294,8.303,145016,120567.868
2025-09-18,8.245,8.281,8.19,8.194,169946,139871.855
2025-09-19,8.239,8.248,8.204,8.232,96195,79115.054
2025-09-22,8.339,8.393,8.321,8.378,90386,75475.604
2025-09-23,8.508,8.75,8.41,8.476,150841,127691.599
2025-09-24,8.486,8.544,8.463,8.531,99463,84594.645
2025-09-25,8.486,8.489,8.45,8.487,110645,93751.901
2025-09-26,8.487,8.521,8.482,8.497,92344,78496.842
2025-09-29,8.49,8.612,8.49,8.605,125701,107677.872
2025-09-30,8.669,8.741,8.669,8.704,162418,141589.95
2025-10-09,9.074,9.2,9.06,9.095,146746,133523.521
2025-10-10,9.03,9.04,8.966,8.97,290682,261519.944
2025-10-13,9.8,9.8,9.111,9.227,173516,159668.57
2025-10-14,9.414,9.676,9.25,9.358,410632,387613.558
2025-10-15,9.56,9.56,9.473,9.556,158981,151374.027
2025-10-16,9.617,9.675,9.584,9.626,259939,250182.712
2025-10-17,9.866,10.003,9.762,9.966,788805,782095.598
2025-10-20,9.676,9.773,9.655,9.667,447726,435494.703
2025-10-21,9.949,9.951,9.832,9.895,280912,277711.312
2025-10-22,9.357,9.499,9.325,9.496,307331,288749.725
2025-10-23,9.351,9.439,9.303,9.382,206807,193652.302
2025-10-24,9.452,9.452,9.316,9.337,199225,186839.855
2025-10-27,9.336,9.336,9.275,9.294,132307,123068.363
2025-10-28,9.141,9.192,8.961,8.963,198837,180287.637
2025-10-29,9.035,9.061,8.982,9.048,318540,287442.324
2025-10-30,9.001,9.073,8.915,9.07,303658,273200.443
2025-10-31,9.179,9.197,9.115,9.164,214282,196119.931
2025-11-03,9.111,9.174,9.105,9.168,126445,115592.698
2025-11-04,9.115,9.126,9.074,9.11,141443,128740.792
2025-11-05,9.015,9.1,9.006,9.077,125619,113652.022
2025-11-06,9.084,9.125,9.075,9.123,87438,79605.891
2025-11-07,9.165,9.165,9.121,9.161,81960,74905.716
2025-11-10,9.23,9.324,9.228,9.313,148053,137152.104
2025-11-11,9.5,9.504,9.436,9.451,190643,180403.404
2025-11-12,9.455,9.455,9.369,9.417,167151,157396.257
2025-11-13,9.537,9.572,9.52,9.56,189865,181306.015
2025-11-14,9.5,9.569,9.473,9.487,304219,289599.994
2025-11-17,9.339,9.344,9.216,9.27,358565,332803.946
2025-11-18,9.205,9.21,9.144,9.155,307135,281645.688
2025-11-19,9.248,9.348,9.247,9.336,295844,274969.953
2025-11-20,9.337,9.349,9.244,9.281,189001,175632.205
2025-11-21,9.25,9.298,9.2,9.208,228644,211450.626
2025-11-24,9.22,9.25,9.212,9.232,196714,181435.578
2025-11-25,9.335,9.418,9.335,9.388,161579,151676.067
2025-11-26,9.396,9.43,9.384,9.388,204347,192325.968
2025-11-27,9.396,9.397,9.37,9.395,118149,110864.86
2025-11-28,9.454,9.475,9.438,9.449,97877,92537.318
2025-12-01,9.53,9.595,9.514,9.549,253439,242169.45
2025-12-02,9.524,9.53,9.478,9.502,162335,154441.188
2025-12-03,9.508,9.528,9.47,9.482,115296,109507.223
2025-12-04,9.493,9.511,9.419,9.448,272876,258039.284
2025-12-05,9.465,9.535,9.465,9.523,125509,119237.298
2025-12-08,9.505,9.507,9.462,9.5,150022,142369.654
2025-12-09,9.463,9.467,9.408,9.431,131115,123730.741
2025-12-10,9.497,9.501,9.468,9.475,88932,84361.326
2025-12-11,9.536,9.551,9.48,9.493,130659,124313.805
2025-12-12,9.574,9.618,9.574,9.614,130145,124890.456
2025-12-15,9.684,9.752,9.682,9.743,179964,174897.611
2025-12-16,9.73,9.73,9.588,9.63,567580,548548.183
2025-12-17,9.671,9.738,9.671,9.704,152732,148265.501
2025-12-18,9.707,9.724,9.696,9.71,103706,100731.309
2025-12-19,9.71,9.714,9.662,9.708,133052,128970.356
2025-12-22,9.788,9.919,9.76,9.909,188938,185929.51
2025-12-23,10.06,10.095,10.011,10.045,208599,209804.799
2025-12-24,10.124,10.135,10.017,10.05,227028,228544.84
2025-12-25,9.986,9.997,9.942,9.977,108761,108398.065
2025-12-26,10.081,10.09,10.027,10.059,140461,141253.593
2025-12-29,10.048,10.074,9.958,9.971,214116,214925.781
2025-12-30,9.671,9.799,9.665,9.76,271575,264618.05
2025-12-31,9.753,9.79,9.581,9.696,375033,364062.799
2026-01-05,9.829,9.905,9.814,9.896,242590,239234.865
2026-01-06,9.926,10.016,9.926,9.99,198512,198099.142
2026-01-07,9.993,10.01,9.91,9.92,224507,223853.33
2026-01-08,9.949,9.963,9.875,9.912,133203,132138.769
2026-01-09,9.933,9.998,9.933,9.992,100474,100248.116
2026-01-12,10.166,10.203,10.149,10.188,110756,112775.549
2026-01-13,10.198,10.236,10.178,10.2,107306,109544.505
2026-01-14,10.27,10.347,10.27,10.343,131197,135187.542
2026-01-15,10.275,10.382,10.23,10.279,185150,190044.496
2026-01-16,10.277,10.292,10.242,10.269,135280,138838.92
2026-01-19,10.41,10.427,10.377,10.424,110407,114808.907
2026-01-20,10.443,10.518,10.405,10.509,194350,203467.023
2026-01-21,10.89,10.913,10.765,10.818,456042,493779.244
2026-01-22,10.723,10.775,10.657,10.772,255613,273767.77
2026-01-23,11.035,11.094,11.011,11.07,401849,444469.55
2026-01-26,11.343,11.48,11.294,11.391,403848,458693.994
2026-01-27,11.36,11.41,11.307,11.392,523509,594235.729
2026-01-28,11.6,11.85,11.575,11.762,739985,865759.842
2026-01-29,12.321,12.54,12.321,12.415,1118705,1387993.21
2026-01-30,11.893,12.068,11.41,11.524,1228683,1438628.788
2026-02-02,10.372,10.681,10.372,10.372,755973,797743.917
2026-02-03,10.714,10.909,10.551,10.856,989460,1060402.121
2026-02-04,11.487,11.488,11.185,11.325,861578,972110.154
2026-02-05,11.115,11.149,10.724,10.967,1243030,1361745.66
2026-02-06,10.483,10.966,10.483,10.797,1317383,1419937.415
2026-02-09,11.15,11.21,11.067,11.174,719911,802811.399
2026-02-10,11.165,11.186,11.112,11.126,423627,472212.794
2026-02-11,11.159,11.213,11.152,11.208,333586,373114.429
2026-02-12,11.186,11.207,11.167,11.171,404679,452689.454
2026-02-13,11.052,11.06,10.95,11.017,534638,588852.652
2026-02-24,11.355,11.464,11.35,11.415,506146,577945.199
2026-02-25,11.43,11.455,11.377,11.418,447968,511521.427
2026-02-26,11.414,11.414,11.354,11.373,288107,327963.411
2026-02-27,11.381,11.411,11.373,11.394,245469,279694.352
2026-03-02,11.951,11.951,11.7,11.888,675506,795729.092
2026-03-03,11.871,11.88,11.684,11.736,835132,985304.941
2026-03-04,11.49,11.548,11.4,11.442,704699,808303.467
2026-03-05,11.445,11.477,11.341,11.428,479453,547820.246
2026-03-06,11.293,11.407,11.293,11.333,597562,679037.19
2026-03-09,11.319,11.413,11.252,11.324,676728,766565.685
2026-03-10,11.4,11.455,11.4,11.419,309550,353679.117
2026-03-11,11.488,11.495,11.42,11.437,242190,277588.462
2026-03-12,11.4,11.416,11.354,11.399,211061,240319.117
2026-03-13,11.328,11.34,11.249,11.256,269736,304728.918
2026-03-16,11.074,11.152,11.052,11.116,308414,342286.32
2026-03-17,11.107,11.147,11.075,11.086,232534,258221.268
2026-03-18,11.092,11.092,11.019,11.053,216847,239555.03
2026-03-19,10.72,10.801,10.501,10.555,579011,619077.808
2026-03-20,10.319,10.494,10.303,10.314,685130,711890.53
2026-03-23,9.93,9.93,9.283,9.317,1196891,1154982.81
2026-03-24,9.555,9.688,9.489,9.687,1373187,1314667.907
2026-03-25,10.08,10.178,10.013,10.041,742135,750386.092
2026-03-26,10.041,10.044,9.762,9.856,595996,590931.122
2026-03-27,9.762,9.928,9.762,9.89,605729,597002.693
2026-03-30,9.891,10.096,9.874,10.06,610203,610151.176
2026-03-31,10.162,10.25,10.103,10.111,851399,865207.55
2026-04-01,10.355,10.441,10.32,10.439,554583,574987.728
2026-04-02,10.425,10.425,10.048,10.146,1059757,1086232.677
2026-04-03,10.321,10.33,10.206,10.241,300158,307865.778
2026-04-07,10.244,10.282,10.195,10.251,463012,473922.675
2026-04-08,10.555,10.58,10.46,10.535,642217,676429.646
2026-04-09,10.339,10.37,10.308,10.323,355565,367702.787
2026-04-10,10.407,10.454,10.376,10.392,487127,507386.999
2026-04-13,10.33,10.358,10.319,10.342,280387,289870.182
2026-04-14,10.438,10.438,10.386,10.43,276898,288340.424
2026-04-15,10.546,10.576,10.485,10.486,322780,339891.521
2026-04-16,10.52,10.535,10.493,10.52,277049,291289.256
2026-04-17,10.428,10.495,10.412,10.449,227359,237725.293
2026-04-20,10.465,10.497,10.436,10.456,253890,265645.203
2026-04-21,10.484,10.496,10.425,10.431,240383,251371.142
2026-04-22,10.42,10.429,10.385,10.426,190547,198357.218
2026-04-23,10.364,10.365,10.282,10.319,295312,304735.63
2026-04-24,10.305,10.316,10.227,10.241,354956,364144.254
2026-04-27,10.255,10.336,10.255,10.315,172458,177707.461
2026-04-28,10.277,10.277,10.125,10.144,251611,256267.499
2026-04-29,10.066,10.09,10.01,10.042,206021,207379.136
2026-04-30,10.04,10.084,9.989,10.082,293545,294504.617
2026-05-06,10.093,10.206,10.093,10.204,242603,246397.735
2026-05-07,10.275,10.348,10.247,10.323,246828,253852.193
2026-05-08,10.297,10.314,10.213,10.299,231586,238389.436
2026-05-11,10.25,10.25,10.123,10.185,336286,342641.989
2026-05-12,10.3,10.307,10.212,10.217,305337,313445.031
2026-05-13,10.22,10.248,10.19,10.219,163966,167583.917
2026-05-14,10.189,10.215,10.168,10.209,378283,385490.086
2026-05-15,10.065,10.067,9.937,9.958,461055,460902.412
2026-05-18,9.853,9.939,9.837,9.916,399971,395967.952
2026-05-19,9.919,9.956,9.883,9.915,222540,220639.777
2026-05-20,9.8,9.808,9.725,9.76,305002,297642.665
2026-05-21,9.912,9.944,9.843,9.846,193072,190926.441
2026-05-22,9.85,9.872,9.823,9.854,151164,148936.498
2026-05-25,9.92,9.939,9.89,9.909,114932,113917.857
2026-05-26,9.893,9.893,9.838,9.852,113038,111436.217
2026-05-27,9.821,9.821,9.728,9.738,175900,171797.851
2026-05-28,9.608,9.608,9.494,9.517,181485,173221.967
2026-05-29,9.772,9.793,9.72,9.791,153753,150128.487
2026-06-01,9.801,9.81,9.738,9.738,116317,113802.41
2026-06-02,9.7,9.81,9.658,9.808,247812,241271.493
2026-06-03,9.676,9.719,9.635,9.669,175304,169740.953
2026-06-04,9.69,9.711,9.664,9.684,163578,158459.37
2026-06-05,9.676,9.676,9.599,9.645,147160,141719.827
2026-06-08,9.42,9.42,9.268,9.33,235675,220349.348
2026-06-09,9.375,9.426,9.375,9.384,146652,137895.016
2026-06-10,9.104,9.15,9.037,9.107,295567,268487.607
2026-06-11,8.95,8.95,8.776,8.864,336721,298008.288
2026-06-12,9.027,9.08,9.006,9.025,207874,187824.312
2026-06-15,9.289,9.366,9.283,9.304,193069,179961.247
2026-06-16,9.319,9.35,9.298,9.329,551869,514503.069
2026-06-17,9.359,9.364,9.31,9.335,150875,140919.301
2026-06-18,9.31,9.343,9.266,9.284,172227,160227.917
2026-06-22,9.104,9.126,9.022,9.084,230858,209281.976
2026-06-23,9.043,9.043,8.887,8.9,215573,192905.985
2026-06-24,8.86,8.889,8.785,8.875,260990,230800.548
2026-06-25,8.68,8.682,8.616,8.637,541029,467927.135
2026-06-26,8.713,8.75,8.639,8.743,1032896,898210.588
2026-06-29,8.802,8.836,8.755,8.804,252953,222689.655
2026-06-30,8.63,8.742,8.569,8.725,286924,247726.813
2026-07-01,8.635,8.666,8.598,8.618,249270,214993.278
2026-07-02,8.757,8.838,8.745,8.828,601694,528720.06
2026-07-03,9.06,9.1,9.0,9.029,320391,289872.997
2026-07-06,9.054,9.104,8.981,8.99,193850,175234.599
2026-07-07,8.957,8.983,8.925,8.959,100303,89822.915
2026-07-08,8.913,8.965,8.89,8.95,169804,151805.727
2026-07-09,8.876,8.908,8.803,8.906,115080,101917.389
2026-07-10,8.911,8.947,8.899,8.902,116474,103845.549
2026-07-13,8.82,8.855,8.767,8.773,133679,117737.511
