date,open,high,low,close,volume,amount
2026-07-06,122.9,134.67,122.13,129.72,1653802,
2026-07-07,132.96,135.0,130.34,131.95,1109651,
2026-07-08,129.97,130.27,126.11,127.57,896813,
2026-07-09,125.02,132.3,123.48,129.95,917431,
2026-07-10,132.2,133.5,124.64,124.76,634630,
