date,open,high,low,close,volume,amount
2026-07-06,100.43,102.0999,92.3,93.09,20511939,
2026-07-07,90.01,90.74,82.85,83.41,26177018,
2026-07-08,86.5,86.5,81.0,83.35,19194538,
2026-07-09,86.295,86.3,82.41,82.55,17866114,
2026-07-10,82.29,82.3,79.06,81.04,14591045,
